name,muscleGroups,equipmentType,difficultyLevel,description,instruction1,instruction2,instruction3,instruction4
Pendlay Row,back;lats,freeWeights,intermediate,Explosive Ruder-Variante,Langhantel nach jeder Wiederholung ablegen,Vom Boden explosiv ziehen,Rücken parallel zum Boden,
Rack Pulls,back;traps,freeWeights,intermediate,Kreuzheben von erhöhter Position,Langhantel auf Rack-Pins,Fokus auf oberen Rücken,Schwere Gewichte möglich,
Deficit Deadlift,back;legs,freeWeights,advanced,Kreuzheben von erhöhter Plattform,Vergrößerter Bewegungsumfang,Mehr Flexibilität erforderlich,Stärkere Dehnung,
Pause Squats,legs,freeWeights,intermediate,Kniebeugen mit Pause am tiefsten Punkt,2-3 Sekunden halten,Kraft aus der Hocke verbessern,Keine Schwungbewegung,
Box Squats,legs,freeWeights,intermediate,Kniebeugen mit Box,Auf Box setzen,Kurz pausieren,Wieder hochdrücken,
Overhead Squats,legs;shoulders;core,freeWeights,advanced,Kniebeugen mit Langhantel über Kopf,Hohe Mobilität erforderlich,Schultern und Rumpf stark gefordert,Arme gestreckt halten,
Snatch Grip Deadlift,back;legs,freeWeights,advanced,Kreuzheben mit sehr breitem Griff,Oberer Rücken stärker beansprucht,Schwierigere Variante,Mehr Bewegungsumfang,
Barbell Shrugs,traps,freeWeights,beginner,Hebe die Schultern nach oben,Langhantel oder Kurzhanteln,Trapezmuskel trainieren,Schultern zu den Ohren,
Upright Row,shoulders;traps,freeWeights,intermediate,Ziehe Langhantel am Körper hoch,Bis zur Brust,Ellbogen nach oben,Kontrollierte Bewegung,
Incline Barbell Bench Press,chest;shoulders,freeWeights,intermediate,Bankdrücken auf Schrägbank,30-45 Grad Neigung,Obere Brust betonen,Langhantel zur oberen Brust,
Decline Barbell Bench Press,chest;triceps,freeWeights,intermediate,Bankdrücken auf Negativbank,Untere Brust betonen,Füße fixieren,Stabile Position,
Close Grip Bench Press,triceps;chest,freeWeights,intermediate,Bankdrücken mit engem Griff,Hände schulterbreit oder enger,Stärkere Trizeps-Belastung,Ellbogen nah am Körper,
Dumbbell Bench Press,chest;shoulders;triceps,freeWeights,beginner,Bankdrücken mit zwei Kurzhanteln,Größerer Bewegungsumfang,Mehr Stabilität erforderlich,Kurzhanteln zusammenführen,
Incline Dumbbell Bench Press,chest;shoulders,freeWeights,beginner,Schrägbankdrücken mit Kurzhanteln,30-45 Grad Neigung,Obere Brust trainieren,Volle Streckung,
Dumbbell Flyes,chest,freeWeights,beginner,Lege dich auf eine Bank,Kurzhanteln mit leicht gebeugten Armen,Weite Bogenbewegung,Dehnung in der Brust spüren,
Lateral Raises,shoulders,freeWeights,beginner,Hebe Kurzhanteln seitlich an,Bis Arme parallel zum Boden,Seitliche Schultermuskeln,Leichte Beugung im Ellbogen,
Front Raises,shoulders,freeWeights,beginner,Hebe Kurzhanteln nach vorne,Mit gestreckten Armen,Bis Schulterhöhe,Abwechselnd oder gleichzeitig,
Arnold Press,shoulders,freeWeights,intermediate,Dynamische Schulterdrück-Variante,Handgelenke während Bewegung drehen,Von vorne nach oben,Alle Schulteranteile trainieren,
Dumbbell Row,back;lats,freeWeights,beginner,Stütze dich auf einer Bank ab,Kurzhantel seitlich hochziehen,Volle Kontraktion,Schulterblatt zusammenziehen,
Goblet Squat,legs;glutes,freeWeights,beginner,Halte Kurzhantel vor der Brust,Senkrecht halten,Tiefe Kniebeuge,Aufrechter Oberkörper,
Bulgarian Split Squats,legs;glutes,freeWeights,intermediate,Stelle einen Fuß auf Erhöhung,Hinterer Fuß erhöht,Vorderes Bein beugen,Einbeinige Kniebeuge,
Hammer Curls,biceps;forearms,freeWeights,beginner,Bizeps-Curls mit neutralem Griff,Handflächen zeigen zueinander,Brachialis-Muskel trainieren,Kontrollierte Bewegung,
Concentration Curls,biceps,freeWeights,beginner,Setze dich hin,Ellbogen am Oberschenkel abstützen,Bizeps isoliert trainieren,Volle Kontraktion,
Triceps Kickbacks,triceps,freeWeights,beginner,Beuge Oberkörper vor,Arm mit Kurzhantel nach hinten strecken,Ellbogen fixiert,Trizeps kontrahieren,
Dumbbell Calf Raises,calves,freeWeights,beginner,Halte Kurzhanteln in den Händen,Stelle dich auf Zehenspitzen,Waden trainieren,Volle Streckung,
Zottman Curls,biceps;forearms,freeWeights,intermediate,Bizeps-Curl mit Drehung,Am oberen Punkt Handgelenke drehen,Auch Unterarme trainieren,Langsam absenken,
Reverse Curls,forearms;biceps,freeWeights,beginner,Bizeps-Curls mit Obergriff,Handflächen zeigen nach unten,Brachioradialis stärken,Unterarme betonen,
Incline Dumbbell Curls,biceps,freeWeights,intermediate,Bizeps-Curls auf Schrägbank,Langer Kopf des Bizeps,Stärkere Dehnung,Arme hängen nach unten,
Spider Curls,biceps,freeWeights,intermediate,Bizeps-Curls auf Schrägseite der Bank,Kurzer Kopf des Bizeps,Verkürzte Position,Isolierte Bewegung,
Overhead Triceps Extension,triceps,freeWeights,beginner,Strecke Arme über dem Kopf,Kurzhantel oder Langhantel,Nach oben drücken,Ellbogen nah am Kopf,
Dumbbell Pullover,chest;lats,freeWeights,intermediate,Lege dich quer auf Bank,Kurzhantel mit gestreckten Armen,Hinter dem Kopf absenken,Brust und Rücken,
Renegade Rows,back;core,freeWeights,advanced,Liegestützposition mit Kurzhanteln,Abwechselnd rudern,Rumpf stabil halten,Keine Rotation,
Farmers Walk,grip;fullBody,freeWeights,beginner,Gehe mit schweren Kurzhanteln,In jeder Hand eine,Bestimmte Strecke,Griffkraft trainieren,
Meadows Row,back;lats,freeWeights,intermediate,Einarmige Ruder-Variante mit Langhantel,Benannt nach John Meadows,Starke Kontraktion,Rücken gerade,
Dumbbell Bench Press Neutral Grip,chest;triceps,freeWeights,beginner,Bankdrücken mit neutralem Griff,Handflächen zeigen zueinander,Schultern entlasten,Trizeps betonen,
Single Arm Overhead Press,shoulders;core,freeWeights,intermediate,Schulterdrücken mit einer Hand,Kurzhantel oder Kettlebell,Rumpfstabilität gefordert,Seitliche Beugung vermeiden,
Kettlebell Swing,glutes;hamstrings;lowerBack,freeWeights,beginner,Schwinge Kettlebell nach vorne,Explosive Hüftbewegung,Bis auf Brusthöhe,Hüftstreckung betonen,
Turkish Get-Up,fullBody;core,freeWeights,advanced,Vom Liegen zum Stehen aufstehen,Kettlebell über dem Kopf,Komplexe Ganzkörperübung,Mehrere Bewegungsphasen,
Kettlebell Goblet Squat,legs;glutes;core,freeWeights,beginner,Halte Kettlebell vor der Brust,Mit beiden Händen,Tiefe Kniebeuge,Rumpf angespannt,
Kettlebell Clean and Press,fullBody,freeWeights,intermediate,Kettlebell vom Boden zur Schulter,Dann über Kopf drücken,Fließende Bewegung,Explosive Hüftstreckung,
Kettlebell Snatch,fullBody,freeWeights,advanced,Kettlebell in einer Bewegung über Kopf,Vom Boden direkt hoch,Explosive Übung,Hohe Koordination,
Windmill,core;shoulders,freeWeights,advanced,Seitlich beugen mit Kettlebell über Kopf,Stabilitätsübung,Beweglichkeit erforderlich,Kontrollierte Bewegung,
Kettlebell Halo,shoulders;core,freeWeights,beginner,Kreise Kettlebell um den Kopf,Schulterstabilität verbessern,Mobilität fördern,Langsame Bewegung,
Kettlebell Figure 8,core;coordination,freeWeights,beginner,Führe Kettlebell in Achterbewegung,Durch die Beine,Koordination trainieren,Flüssige Bewegung,
Push-ups,chest;shoulders;triceps,bodyweight,beginner,Drücke Körper vom Boden weg,Hände schulterbreit,Arme strecken,Körper gerade halten,
Pull-ups,back;lats;biceps,bodyweight,intermediate,Ziehe Körper an Stange hoch,Kinn über die Stange,Obergriff verwenden,Kontrolliert absenken,
Dips,triceps;chest;shoulders,bodyweight,intermediate,Stütze dich auf zwei Barren,Körper absenken,Ellbogen beugen,Wieder hochdrücken,
Bodyweight Squats,legs;glutes,bodyweight,beginner,Kniebeuge ohne Gewicht,Füße schulterbreit,Arme nach vorne,Oberschenkel parallel,
Lunges,legs;glutes,bodyweight,beginner,Mache großen Schritt nach vorne,Beide Knie zu 90 Grad beugen,Wieder zurück,Abwechselnd,
Plank,core,bodyweight,beginner,Halte Körper in gerader Linie,Auf Unterarmen und Zehenspitzen,Rumpf angespannt,Nicht durchhängen,
Burpees,fullBody,bodyweight,intermediate,Kniebeuge Liegestütz Strecksprung,Ganzkörperübung,Explosive Bewegung,Hohe Intensität,
Mountain Climbers,core;cardio,bodyweight,beginner,Liegestützposition,Knie abwechselnd zur Brust,Wie Berg erklettern,Schnelle Bewegung,
Sit-ups,abs,bodyweight,beginner,Lege dich auf den Rücken,Oberkörper aufrichten,Bis zum Sitzen,Gerader Bauchmuskel,
Crunches,abs,bodyweight,beginner,Variante der Sit-ups,Nur oberer Rücken hebt ab,Kurze Bewegung,Bauch anspannen,
Leg Raises,abs,bodyweight,intermediate,Lege dich auf den Rücken,Gestreckte Beine anheben,Bis senkrecht zum Boden,Untere Bauchmuskeln,
Glute Bridge,glutes;lowerBack,bodyweight,beginner,Lege dich auf den Rücken,Füße aufstellen,Hüfte nach oben drücken,Gesäß anspannen,
Pistol Squats,legs;glutes,bodyweight,advanced,Einbeinige Kniebeuge,Hohes Maß an Kraft,Gleichgewicht erforderlich,Freies Bein gestreckt,
Handstand Push-ups,shoulders;triceps,bodyweight,advanced,Liegestütze im Handstand,An Wand zur Unterstützung,Schultern stark beansprucht,Volle Streckung,
Muscle-ups,back;chest;shoulders;arms,bodyweight,advanced,Klimmzug und Dip kombiniert,Fortgeschrittene Übung,Über die Stange ziehen,Explosive Bewegung,
Superman,lowerBack,bodyweight,beginner,Lege dich auf den Bauch,Arme und Beine gleichzeitig anheben,Unteren Rücken trainieren,Position halten,
Wall Sit,legs,bodyweight,beginner,Lehne dich an Wand,Gehe in die Hocke,Als ob du sitzt,Position halten,
Box Jumps,legs,bodyweight,intermediate,Springe auf erhöhte Plattform,Mit beiden Füßen,Explosive Kraft,Weich landen,
Diamond Push-ups,triceps;chest,bodyweight,intermediate,Liegestütze mit enger Handstellung,Daumen und Zeigefinger bilden Dreieck,Trizeps stärker beanspruchen,Ellbogen nah am Körper,
Pike Push-ups,shoulders,bodyweight,intermediate,Liegestütze mit erhöhter Hüfte,Schultern stärker belasten,Kopf zum Boden,Umgekehrtes V,
Archer Push-ups,chest;shoulders;triceps,bodyweight,advanced,Ein Arm zur Seite ausgestreckt,Belastung auf anderen Arm,Einseitige Variante,Hohe Kraft erforderlich,
Typewriter Push-ups,chest;shoulders;triceps,bodyweight,advanced,In unterer Position seitlich bewegen,Wie Schreibmaschine,Von Seite zu Seite,Sehr anspruchsvoll,
Chin-ups,back;lats;biceps,bodyweight,intermediate,Klimmzug mit Untergriff,Handflächen zeigen zu dir,Bizeps stärker einbezogen,Zur Brust ziehen,
Neutral Grip Pull-ups,back;biceps,bodyweight,intermediate,Klimmzüge mit parallelem Griff,Balance zwischen Bizeps und Rücken,Handflächen zueinander,Schonend für Handgelenke,
Inverted Row,back,bodyweight,beginner,Hänge dich unter Stange,Ziehe Brust zur Stange,Australische Klimmzüge,Körper gerade,
Shrimp Squats,legs;glutes,bodyweight,advanced,Einbeinige Kniebeuge,Freier Fuß hinter Körper,Hohe Balance erforderlich,Kontrollierte Bewegung,
Cossack Squats,legs;adductors,bodyweight,intermediate,Seitliche Kniebeuge,Gewicht auf ein Bein,Anderes Bein gestreckt,Mobilität erforderlich,
L-Sit,core;hipFlexors,bodyweight,advanced,Körper bildet L-Form,An Barren oder am Boden,Beine gestreckt anheben,Rumpf stark angespannt,
V-ups,abs,bodyweight,intermediate,Lege dich auf den Rücken,Hände und Füße zusammenbringen,In der Mitte treffen,V-Form bilden,
Russian Twists,abs;obliques,bodyweight,beginner,Drehe Oberkörper im Sitzen,Von Seite zu Seite,Schräge Bauchmuskeln,Füße vom Boden,
Hanging Leg Raises,abs;hipFlexors,bodyweight,intermediate,Hänge an Stange,Beine anheben,Gebeugt oder gestreckt,Untere Bauchmuskeln,
Hanging Knee Raises,abs;hipFlexors,bodyweight,beginner,Leichtere Variante,Knie zur Brust ziehen,An Stange hängen,Kontrollierte Bewegung,
Dragon Flag,core,bodyweight,advanced,Körper gestreckt absenken,An Objekt festhalten,Sehr fortgeschritten,Gesamte Bauchmuskulatur,
Back Extension Bodyweight,lowerBack,bodyweight,beginner,Rückenstreckung ohne Gerät,Auf dem Bauch liegend,Oberkörper anheben,Unteren Rücken trainieren,
Nordic Hamstring Curls,hamstrings,bodyweight,advanced,Knie dich hin,Partner hält Fersen fest,Oberkörper langsam nach vorne,Sehr intensive Übung,
Bodyweight Calf Raises,calves,bodyweight,beginner,Hebe Fersen an,Auf Stufe oder am Boden,Waden trainieren,Volle Streckung,
Single Leg Calf Raises,calves,bodyweight,intermediate,Einbeiniges Wadenheben,Intensivere Belastung,Auf einem Bein,Balance halten,
Broad Jumps,legs,bodyweight,beginner,Springe aus Stand nach vorne,So weit wie möglich,Explosive Kraft,Beine durchstrecken,
Tuck Jumps,legs,bodyweight,intermediate,Springe in die Luft,Knie zur Brust ziehen,So hoch wie möglich,Explosive Bewegung,
Bear Crawl,fullBody;core,bodyweight,beginner,Bewege dich auf allen Vieren,Knie knapp über Boden,Vorwärts krabbeln,Rumpf stabil,
Pseudo Planche Push-ups,shoulders;chest,bodyweight,advanced,Hände weiter hinten platziert,Schultern stärker belasten,Fortgeschrittene Variante,Körper nach vorne lehnen,
Decline Push-ups,chest;shoulders,bodyweight,intermediate,Liegestütze mit erhöhten Füßen,Obere Brust betonen,Schwieriger als normal,Mehr Gewicht auf Armen,
Incline Push-ups,chest;shoulders;triceps,bodyweight,beginner,Liegestütze mit erhöhten Händen,Übung erleichtern,Für Anfänger geeignet,Progression zu normalen Push-ups,
Clap Push-ups,chest;shoulders;triceps,bodyweight,advanced,Explosive Liegestütze,In der Luft klatschen,Plyometrisch,Hohe Explosivkraft,
One Arm Push-ups,chest;shoulders;triceps;core,bodyweight,advanced,Liegestütze auf einem Arm,Sehr fortgeschritten,Hohe Kraft erforderlich,Rumpf stabilisieren,
Scapular Pull-ups,upperBack,bodyweight,beginner,Kleine Klimmzug-Bewegungen,Nur Schulterblätter bewegen,Schulterstabilität verbessern,Arme bleiben gestreckt,
Commando Pull-ups,back;biceps,bodyweight,advanced,Klimmzüge mit parallelem Griff,Kopf abwechselnd links und rechts,An Stange vorbeiführen,Seitliche Bewegung,
Hanging Windshield Wipers,core;obliques,bodyweight,advanced,Hänge an Stange,Gestreckte Beine seitlich bewegen,Von Seite zu Seite,Wie Scheibenwischer,
Hollow Body Hold,core,bodyweight,intermediate,Lege dich auf Rücken,Schultern und Beine leicht anheben,Rumpf spannen,Position halten,
Arch Body Hold,lowerBack,bodyweight,beginner,Lege dich auf Bauch,Arme und Beine anheben,Unteren Rücken trainieren,Gegenstück zu Hollow Body,
Side Plank,core;obliques,bodyweight,beginner,Seitliche Linie halten,Auf einem Unterarm gestützt,Schräge Bauchmuskeln,Körper gerade,
Copenhagen Plank,adductors;core,bodyweight,advanced,Fortgeschrittene Seitstütz-Variante,Oberes Bein auf Erhöhung,Adduktoren trainieren,Sehr anspruchsvoll,
Jumping Lunges,legs,bodyweight,intermediate,Wechsle im Sprung zwischen Ausfallschritten,Explosive Kraft,Plyometrisch,Hohe Intensität,
Step-ups,legs;glutes,bodyweight,beginner,Steige auf erhöhte Plattform,Und wieder herunter,Quadrizeps und Gesäß,Kontrollierte Bewegung,
Reverse Hyperextensions,glutes;lowerBack,bodyweight,intermediate,Oberkörper auf Bank,Beine nach hinten anheben,Gesäß trainieren,Unteren Rücken stärken,
Leg Press,legs;glutes;hamstrings,machine,beginner,Setze dich in die Maschine,Drücke Plattform mit Füßen weg,Beine strecken,Kontrolliert zurück,
Leg Extension,legs,machine,beginner,Strecke Unterschenkel im Sitzen,Gegen Widerstand nach oben,Quadrizeps isolieren,Langsame Bewegung,
Leg Curl,hamstrings,machine,beginner,Beuge Unterschenkel,Im Liegen oder Sitzen,Gegen Widerstand nach hinten,Beinbeuger trainieren,
Lat Pulldown,back;lats,machine,beginner,Ziehe Stange im Sitzen,Von oben zur Brust,Breiter Griff,Rücken gerade,
Seated Cable Row,back;lats,machine,beginner,Ziehe Griff zum Bauch,Aus horizontaler Position,Im Sitzen,Schulterblätter zusammen,
Chest Press Machine,chest;shoulders;triceps,machine,beginner,Drücke Griffe nach vorne,Im Sitzen,Von der Brust weg,Kontrollierte Bewegung,
Pec Deck Machine,chest,machine,beginner,Führe Hebel vor Brust zusammen,Im Sitzen,Brust isolieren,Dehnung spüren,
Shoulder Press Machine,shoulders,machine,beginner,Drücke Griffe über Kopf,Im Sitzen,Schultern trainieren,Volle Streckung,
Lateral Raise Machine,shoulders,machine,beginner,Hebe Arme seitlich an,Im Sitzen,Gegen Widerstand,Seitliche Schultern,
Biceps Curl Machine,biceps,machine,beginner,Beuge Arme gegen Widerstand,Im Sitzen,Bizeps trainieren,Kontrollierte Bewegung,
Triceps Extension Machine,triceps,machine,beginner,Strecke Arme nach unten,Gegen Widerstand,Trizeps isolieren,Ellbogen fixiert,
Calf Raise Machine,calves,machine,beginner,Hebe Fersen an,Im Stehen oder Sitzen,Waden trainieren,Volle Streckung,
Hip Abduction Machine,hips;glutes,machine,beginner,Spreize Beine nach außen,Im Sitzen,Gegen Widerstand,Abduktoren trainieren,
Hip Adduction Machine,hips,machine,beginner,Führe Beine zusammen,Im Sitzen,Gegen Widerstand,Adduktoren trainieren,
Smith Machine Squats,legs;glutes,machine,beginner,Kniebeugen in geführter Maschine,Langhantel geführt,Für Anfänger sicherer,Vertikale Bewegung,
Smith Machine Bench Press,chest;shoulders;triceps,machine,beginner,Bankdrücken in Smith Machine,Geführte Bewegung,Sicherer für Anfänger,Vertikale Führung,
Cable Crossover,chest,machine,intermediate,Führe Griffe vor Brust zusammen,Am Kabelzug,Von oben oder unten,Brust dehnen,
Cable Row,back,machine,beginner,Ruder-Varianten am Kabelzug,Verschiedene Griffe möglich,Zum Körper ziehen,Rücken trainieren,
Cable Triceps Pushdown,triceps,machine,beginner,Drücke Griff nach unten,Am Kabelzug,Von oben nach unten,Mit Seil oder Stange,
Cable Biceps Curls,biceps,machine,beginner,Bizeps-Curls am Kabelzug,Konstante Spannung,Verschiedene Griffe,Kontrollierte Bewegung,
Hack Squat,legs,machine,intermediate,Kniebeuge an geneigter Plattform,Gegen Plattform drücken,Quadrizeps betonen,Geführte Bewegung,
Back Extension Machine,lowerBack,machine,beginner,Richte Oberkörper auf,Gegen Widerstand,Unteren Rücken stärken,Kontrollierte Bewegung,
Abdominal Crunch Machine,abs,machine,beginner,Crunches im Sitzen,Gegen Widerstand,Bauchmuskulatur trainieren,Volle Kontraktion,
Assisted Pull-up Dip Machine,back;biceps;chest;triceps,machine,beginner,Hilft bei Klimmzügen und Dips,Kompensiert Körpergewicht,Für Anfänger geeignet,Progression zu freien Übungen,
Reverse Pec Deck,shoulders,machine,beginner,Führe Hebel nach hinten,Am Pec Deck,Hintere Schulter trainieren,Schulterblätter zusammen,
Preacher Curl Machine,biceps,machine,beginner,Bizeps-Curls mit Armauflage,Bizeps isolieren,Ellbogen fixiert,Keine Schwungbewegung,
Cable Lateral Raises,shoulders,machine,beginner,Seitheben am Kabelzug,Konstante Spannung,Seitliche Schultern,Kontrollierte Bewegung,
Cable Front Raises,shoulders,machine,beginner,Frontheben am Kabelzug,Vordere Schulter,Bis Schulterhöhe,Arme gestreckt,
Cable Reverse Flyes,shoulders,machine,beginner,Führe Griffe nach hinten,Am Kabelzug,Hintere Schulter,Schulterblätter zusammen,
Cable Face Pulls,shoulders;upperBack,machine,beginner,Ziehe Seil zum Gesicht,Am Kabelzug,Hintere Schulter und oberer Rücken,Ellbogen nach außen,
Cable Woodchoppers,abs;obliques,machine,intermediate,Diagonale Zugbewegung,Am Kabelzug,Schräge Bauchmuskeln,Rotation im Rumpf,
Cable Pallof Press,core,machine,intermediate,Drücke Griff vor Brust weg,Widerstehe Rotation,Anti-Rotations-Training,Rumpfstabilität,
Cable Kickbacks,triceps,machine,beginner,Trizeps-Kickbacks am Kabelzug,Nach hinten strecken,Konstante Spannung,Ellbogen fixiert,
Leg Press Narrow Stance,legs,machine,beginner,Beinpresse mit enger Fußstellung,Quadrizeps betonen,Füße nah zusammen,Volle Streckung,
Leg Press Wide Stance,glutes;adductors,machine,beginner,Beinpresse mit breiter Fußstellung,Gesäß und Adduktoren,Füße weit auseinander,Tiefe Beugung,
Sissy Squats Machine,legs,machine,intermediate,Quadrizeps stark isolieren,Spezielle Maschine,Knie weit nach vorne,Intensive Übung,
Glute Kickback Machine,glutes,machine,beginner,Drücke Bein nach hinten,Gegen Widerstand,Gesäß trainieren,Volle Kontraktion,
Seated Leg Curl,hamstrings,machine,beginner,Beinbeuger im Sitzen,Variante des Leg Curls,Unterschenkel nach hinten,Kontrollierte Bewegung,
Standing Leg Curl,hamstrings,machine,beginner,Beinbeuger im Stehen,Ein Bein nach dem anderen,Balance erforderlich,Beinbeuger isolieren,
Seated Calf Raise Machine,calves,machine,beginner,Wadenheben im Sitzen,Soleus-Muskel trainieren,Knie gebeugt,Volle Streckung,
Standing Calf Raise Machine,calves,machine,beginner,Wadenheben im Stehen,Gastrocnemius trainieren,Beine gestreckt,Auf Zehenspitzen,
Torso Rotation Machine,abs;obliques,machine,beginner,Drehe Oberkörper gegen Widerstand,Im Sitzen,Schräge Bauchmuskeln,Kontrollierte Rotation,
Vertical Leg Press,legs,machine,intermediate,Beinpresse vertikal nach oben,Auf dem Rücken liegend,Plattform nach oben drücken,Schwierige Variante
